member_name,size_bytes,compressed_size_bytes,crc32,type
NII_Data_sharing_MECFS/CFS_010/NII_MD.nii,3743200,746880,cc627f3f,file
NII_Data_sharing_MECFS/CFS_010/NII_RD.nii,3743200,755305,c2c4dfc2,file
NII_Data_sharing_MECFS/CFS_010/NII_RF.nii,3743200,745212,eb4026b2,file
NII_Data_sharing_MECFS/CFS_013/,0,0,00000000,directory
NII_Data_sharing_MECFS/CFS_013/DTI_AD.nii.gz,701394,698256,76556245,file
NII_Data_sharing_MECFS/CFS_013/DTI_FA.nii.gz,728930,725978,1ff7a3a9,file
NII_Data_sharing_MECFS/CFS_013/DTI_MD.nii.gz,715320,711953,5739d989,file
NII_Data_sharing_MECFS/CFS_013/DTI_RD.nii.gz,725031,721901,9e99a151,file
NII_Data_sharing_MECFS/CFS_013/NII_AD.nii,3743200,722908,f7bb96c5,file
NII_Data_sharing_MECFS/CFS_013/NII_FA.nii,3743200,738060,2a21dfaa,file
NII_Data_sharing_MECFS/CFS_013/NII_FF.nii,3743200,729771,648019dc,file
NII_Data_sharing_MECFS/CFS_013/NII_HR.nii,3743200,723645,76d0f876,file
NII_Data_sharing_MECFS/CFS_013/NII_MD.nii,3743200,730320,163e9ce2,file
NII_Data_sharing_MECFS/CFS_013/NII_RD.nii,3743200,738038,2c30ab6e,file
NII_Data_sharing_MECFS/CFS_013/NII_RF.nii,3743200,728277,966b35df,file
NII_Data_sharing_MECFS/CFS_015/,0,0,00000000,directory
NII_Data_sharing_MECFS/CFS_015/DTI_AD.nii.gz,712236,708989,f23b04f1,file
NII_Data_sharing_MECFS/CFS_015/DTI_FA.nii.gz,740524,737414,baed06b6,file
NII_Data_sharing_MECFS/CFS_015/DTI_MD.nii.gz,726624,723208,af6ba29f,file
NII_Data_sharing_MECFS/CFS_015/DTI_RD.nii.gz,735892,732815,21b32b1e,file
NII_Data_sharing_MECFS/CFS_015/NII_AD.nii,3743200,735328,6193f002,file
NII_Data_sharing_MECFS/CFS_015/NII_FA.nii,3743200,749780,f8a9d683,file
NII_Data_sharing_MECFS/CFS_015/NII_FF.nii,3743200,743193,c25f4810,file
NII_Data_sharing_MECFS/CFS_015/NII_HR.nii,3743200,739275,d930a47f,file
NII_Data_sharing_MECFS/CFS_015/NII_MD.nii,3743200,743791,afadbdb2,file
NII_Data_sharing_MECFS/CFS_015/NII_RD.nii,3743200,750803,1dac976d,file
NII_Data_sharing_MECFS/CFS_015/NII_RF.nii,3743200,742504,8d171500,file
NII_Data_sharing_MECFS/CFS_016/,0,0,00000000,directory
NII_Data_sharing_MECFS/CFS_016/DTI_AD.nii.gz,719777,717445,554e8b11,file
NII_Data_sharing_MECFS/CFS_016/DTI_FA.nii.gz,750947,748714,6f02e080,file
NII_Data_sharing_MECFS/CFS_016/DTI_MD.nii.gz,733906,731426,050242c4,file
NII_Data_sharing_MECFS/CFS_016/DTI_RD.nii.gz,745196,742955,296dfef4,file
NII_Data_sharing_MECFS/CFS_016/NII_AD.nii,3743200,748980,25a40e5e,file
NII_Data_sharing_MECFS/CFS_016/NII_FA.nii,3743200,764540,8df2148f,file
NII_Data_sharing_MECFS/CFS_016/NII_FF.nii,3743200,757366,41b05285,file
NII_Data_sharing_MECFS/CFS_016/NII_HR.nii,3743200,751945,d73a89ad,file
NII_Data_sharing_MECFS/CFS_016/NII_MD.nii,3743200,757797,c20cd501,file
NII_Data_sharing_MECFS/CFS_016/NII_RD.nii,3743200,765872,3ced0022,file
NII_Data_sharing_MECFS/CFS_016/NII_RF.nii,3743200,755608,a3e7128b,file
NII_Data_sharing_MECFS/CFS_017/,0,0,00000000,directory
NII_Data_sharing_MECFS/CFS_017/DTI_AD.nii.gz,610062,606308,7bc9c2c1,file
NII_Data_sharing_MECFS/CFS_017/DTI_FA.nii.gz,633370,629776,05d8184d,file
NII_Data_sharing_MECFS/CFS_017/DTI_MD.nii.gz,621701,617909,0faad7af,file
NII_Data_sharing_MECFS/CFS_017/DTI_RD.nii.gz,630335,626727,ba489480,file
NII_Data_sharing_MECFS/CFS_017/NII_AD.nii,3743200,630172,2a2396f2,file
NII_Data_sharing_MECFS/CFS_017/NII_FA.nii,3743200,641998,0cec56c6,file
NII_Data_sharing_MECFS/CFS_017/NII_FF.nii,3743200,635579,2b50a1fd,file
NII_Data_sharing_MECFS/CFS_017/NII_HR.nii,3743200,631566,27831d0f,file
NII_Data_sharing_MECFS/CFS_017/NII_MD.nii,3743200,636791,fa42ad4e,file
NII_Data_sharing_MECFS/CFS_017/NII_RD.nii,3743200,643209,d894b5d7,file
NII_Data_sharing_MECFS/CFS_017/NII_RF.nii,3743200,634378,a2b3c771,file
NII_Data_sharing_MECFS/CFS_018/,0,0,00000000,directory
NII_Data_sharing_MECFS/CFS_018/DTI_AD.nii.gz,735320,732115,ca2dda12,file
NII_Data_sharing_MECFS/CFS_018/DTI_FA.nii.gz,765254,762241,46115e5f,file
NII_Data_sharing_MECFS/CFS_018/DTI_MD.nii.gz,749488,746171,dc262252,file
NII_Data_sharing_MECFS/CFS_018/DTI_RD.nii.gz,760543,757534,b7ae4161,file
NII_Data_sharing_MECFS/CFS_018/NII_AD.nii,3743200,762436,e19461e4,file
NII_Data_sharing_MECFS/CFS_018/NII_FA.nii,3743200,778125,ecbaaef7,file
NII_Data_sharing_MECFS/CFS_018/NII_FF.nii,3743200,769518,79550f62,file
NII_Data_sharing_MECFS/CFS_018/NII_HR.nii,3743200,763717,b1cbcdd1,file
NII_Data_sharing_MECFS/CFS_018/NII_MD.nii,3743200,770094,6c2cf0ed,file
NII_Data_sharing_MECFS/CFS_018/NII_RD.nii,3743200,778107,5ccdf6c2,file
NII_Data_sharing_MECFS/CFS_018/NII_RF.nii,3743200,767854,282d5a63,file
NII_Data_sharing_MECFS/CFS_019/,0,0,00000000,directory
NII_Data_sharing_MECFS/CFS_019/DTI_AD.nii.gz,742430,739825,1b6936ee,file
NII_Data_sharing_MECFS/CFS_019/DTI_FA.nii.gz,774122,771658,b7da7c51,file
NII_Data_sharing_MECFS/CFS_019/DTI_MD.nii.gz,757288,754452,cf9af66d,file
NII_Data_sharing_MECFS/CFS_019/DTI_RD.nii.gz,768121,765678,24da2482,file
NII_Data_sharing_MECFS/CFS_019/NII_AD.nii,3743200,772189,ebfaab58,file
NII_Data_sharing_MECFS/CFS_019/NII_FA.nii,3743200,788636,45cbbf82,file
NII_Data_sharing_MECFS/CFS_019/NII_FF.nii,3743200,781411,0b0df78f,file
NII_Data_sharing_MECFS/CFS_019/NII_HR.nii,3743200,776137,ee49d359,file
NII_Data_sharing_MECFS/CFS_019/NII_MD.nii,3743200,781076,05dcf55a,file
NII_Data_sharing_MECFS/CFS_019/NII_RD.nii,3743200,789540,870ba55e,file
NII_Data_sharing_MECFS/CFS_019/NII_RF.nii,3743200,779788,a0824349,file
NII_Data_sharing_MECFS/CFS_020/,0,0,00000000,directory
NII_Data_sharing_MECFS/CFS_020/DTI_AD.nii.gz,791661,789397,40e3aceb,file
NII_Data_sharing_MECFS/CFS_020/DTI_FA.nii.gz,825206,823141,b8fbd551,file
NII_Data_sharing_MECFS/CFS_020/DTI_MD.nii.gz,806561,804179,2dde182c,file
NII_Data_sharing_MECFS/CFS_020/DTI_RD.nii.gz,819321,817303,336bb105,file
NII_Data_sharing_MECFS/CFS_020/NII_AD.nii,3743200,819062,b1a4782e,file
NII_Data_sharing_MECFS/CFS_020/NII_FA.nii,3743200,836139,d9ca398d,file
NII_Data_sharing_MECFS/CFS_020/NII_FF.nii,3743200,828071,94cf5bdf,file
NII_Data_sharing_MECFS/CFS_020/NII_HR.nii,3743200,821699,deeefa1f,file
NII_Data_sharing_MECFS/CFS_020/NII_MD.nii,3743200,828175,ae119048,file
NII_Data_sharing_MECFS/CFS_020/NII_RD.nii,3743200,837207,eb6557f5,file
NII_Data_sharing_MECFS/CFS_020/NII_RF.nii,3743200,825935,d579ce9c,file
NII_Data_sharing_MECFS/CFS_025/,0,0,00000000,directory
NII_Data_sharing_MECFS/CFS_025/DTI_AD.nii.gz,760032,757471,78f31a8e,file
NII_Data_sharing_MECFS/CFS_025/DTI_FA.nii.gz,790377,787994,c275cfc1,file
NII_Data_sharing_MECFS/CFS_025/DTI_MD.nii.gz,778012,775327,864a0e29,file
NII_Data_sharing_MECFS/CFS_025/DTI_RD.nii.gz,785486,783031,ea60826a,file
NII_Data_sharing_MECFS/CFS_025/NII_AD.nii,3743200,784518,3c13c70c,file
NII_Data_sharing_MECFS/CFS_025/NII_FA.nii,3743200,800427,2877f225,file
NII_Data_sharing_MECFS/CFS_025/NII_FF.nii,3743200,792781,3b88ae27,file
NII_Data_sharing_MECFS/CFS_025/NII_HR.nii,3743200,787328,edb086fd,file
NII_Data_sharing_MECFS/CFS_025/NII_MD.nii,3743200,792927,45b127d8,file
NII_Data_sharing_MECFS/CFS_025/NII_RD.nii,3743200,801735,d566c85d,file
NII_Data_sharing_MECFS/CFS_025/NII_RF.nii,3743200,791183,af525b2e,file
NII_Data_sharing_MECFS/CFS_027/,0,0,00000000,directory
NII_Data_sharing_MECFS/CFS_027/DTI_AD.nii.gz,752983,750368,4dc574af,file
NII_Data_sharing_MECFS/CFS_027/DTI_FA.nii.gz,782169,779837,9e290122,file
NII_Data_sharing_MECFS/CFS_027/DTI_MD.nii.gz,769721,766948,f98e8b8e,file
NII_Data_sharing_MECFS/CFS_027/DTI_RD.nii.gz,778487,776077,fed7de4b,file
NII_Data_sharing_MECFS/CFS_027/NII_AD.nii,3743200,777375,d669fb51,file
NII_Data_sharing_MECFS/CFS_027/NII_FA.nii,3743200,791993,20fab759,file
NII_Data_sharing_MECFS/CFS_027/NII_FF.nii,3743200,784197,9e2e97de,file
NII_Data_sharing_MECFS/CFS_027/NII_HR.nii,3743200,779907,bb680864,file
NII_Data_sharing_MECFS/CFS_027/NII_MD.nii,3743200,785575,e629e9d0,file
NII_Data_sharing_MECFS/CFS_027/NII_RD.nii,3743200,793806,06219a0b,file
NII_Data_sharing_MECFS/CFS_027/NII_RF.nii,3743200,783327,a717b45e,file
NII_Data_sharing_MECFS/CFS_028/,0,0,00000000,directory
NII_Data_sharing_MECFS/CFS_028/DTI_AD.nii.gz,712225,709044,ab060f25,file
