archive_member,rows_before,exact_duplicate_rows_removed,nonidentical_duplicate_key_rows_aggregated,rows_after
GSM7846603_FibroWalitt101.txt.gz,11423,0,0,11423
GSM7846604_FibroWalitt110.txt.gz,11423,0,0,11423
GSM7846605_FibroWalitt112.txt.gz,11423,0,0,11423
GSM7846606_FibroWalitt113.txt.gz,11423,0,0,11423
GSM7846607_FibroWalitt115.txt.gz,11423,0,0,11423
GSM7846608_FibroWalitt117.txt.gz,11423,0,0,11423
GSM7846609_FibroWalitt119.txt.gz,11423,0,0,11423
GSM7846610_FibroWalitt120.txt.gz,11423,0,0,11423
GSM7846611_FibroWalitt121.txt.gz,11423,0,0,11423
GSM7846612_FibroWalitt122.txt.gz,11423,0,0,11423
GSM7846613_FibroWalitt123.txt.gz,11423,0,0,11423
GSM7846614_FibroWalitt124.txt.gz,11423,0,0,11423
GSM7846615_FibroWalitt302.txt.gz,11423,0,0,11423
GSM7846616_FibroWalitt305.txt.gz,11423,0,0,11423
GSM7846617_FibroWalitt310.txt.gz,11423,0,0,11423
GSM7846618_FibroWalitt311.txt.gz,11423,0,0,11423
GSM7846619_FibroWalitt312.txt.gz,11423,0,0,11423
GSM7846620_FibroWalitt313.txt.gz,11423,0,0,11423
GSM7846621_FibroWalitt316.txt.gz,11423,0,0,11423
GSM7846622_FibroWalitt319.txt.gz,11423,0,0,11423
GSM7846623_FibroWalitt320.txt.gz,11423,0,0,11423
GSM7846624_FibroWalitt322.txt.gz,11423,0,0,11423
GSM7846625_FibroWalitt323.txt.gz,11423,0,0,11423
GSM7846626_FibroWalitt324.txt.gz,11423,0,0,11423
GSM7846627_FibroWalitt325.txt.gz,11423,0,0,11423
