member_name,size_bytes,type
GSM7846603_FibroWalitt101.txt.gz,117471,file
GSM7846604_FibroWalitt110.txt.gz,116134,file
GSM7846605_FibroWalitt112.txt.gz,116979,file
GSM7846606_FibroWalitt113.txt.gz,116424,file
GSM7846607_FibroWalitt115.txt.gz,117084,file
GSM7846608_FibroWalitt117.txt.gz,116829,file
GSM7846609_FibroWalitt119.txt.gz,116962,file
GSM7846610_FibroWalitt120.txt.gz,117653,file
GSM7846611_FibroWalitt121.txt.gz,115727,file
GSM7846612_FibroWalitt122.txt.gz,117615,file
GSM7846613_FibroWalitt123.txt.gz,115276,file
GSM7846614_FibroWalitt124.txt.gz,116687,file
GSM7846615_FibroWalitt302.txt.gz,115723,file
GSM7846616_FibroWalitt305.txt.gz,114011,file
GSM7846617_FibroWalitt310.txt.gz,117977,file
GSM7846618_FibroWalitt311.txt.gz,116986,file
GSM7846619_FibroWalitt312.txt.gz,117123,file
GSM7846620_FibroWalitt313.txt.gz,116869,file
GSM7846621_FibroWalitt316.txt.gz,117181,file
GSM7846622_FibroWalitt319.txt.gz,116592,file
GSM7846623_FibroWalitt320.txt.gz,116050,file
GSM7846624_FibroWalitt322.txt.gz,115917,file
GSM7846625_FibroWalitt323.txt.gz,117403,file
GSM7846626_FibroWalitt324.txt.gz,116281,file
GSM7846627_FibroWalitt325.txt.gz,116098,file
GSM7989349_Walitt101.txt.gz,184488,file
GSM7989350_Walitt112.txt.gz,185850,file
GSM7989351_Walitt113.txt.gz,184473,file
GSM7989352_Walitt115.txt.gz,187183,file
GSM7989353_Walitt117.txt.gz,183611,file
GSM7989354_Walitt119.txt.gz,186430,file
GSM7989355_Walitt120.txt.gz,186071,file
GSM7989356_Walitt121.txt.gz,186166,file
GSM7989357_Walitt302.txt.gz,186780,file
GSM7989358_Walitt305.txt.gz,181415,file
GSM7989359_Walitt310.txt.gz,183179,file
GSM7989360_Walitt311.txt.gz,187185,file
GSM7989361_Walitt312.txt.gz,187470,file
GSM7989362_Walitt313.txt.gz,186345,file
GSM7989363_Walitt316.txt.gz,186015,file
GSM7989364_Walitt319.txt.gz,185866,file
GSM7989365_Walitt322.txt.gz,187682,file
GSM8073643_Walitt103.txt.gz,184718,file
GSM8073644_Walitt104.txt.gz,184834,file
GSM8073645_Walitt106.txt.gz,184682,file
GSM8073646_Walitt108.txt.gz,183515,file
GSM8073647_Walitt109.txt.gz,177708,file
GSM8073648_Walitt111.txt.gz,184002,file
GSM8073649_Walitt116.txt.gz,187476,file
GSM8073650_Walitt308.txt.gz,186963,file
GSM8073651_Walitt321.txt.gz,186646,file
GSM8127667_Walitt315.txt.gz,185949,file
