measurement_column,SeqId,SomaId,TargetFullName,Target,UniProt,EntrezGeneID,EntrezGeneSymbol,Organism,Units,Type,Dilution,PlateScale_Reference
SeqId,SeqId,SomaId,TargetFullName,Target,UniProt,EntrezGeneID,EntrezGeneSymbol,Organism,Units,Type,Dilution,PlateScale_Reference
4545-53_3,4545-53_3,SL006197,Mitochondrial import inner membrane translocase subunit TIM14,DnaJ homolog,Q96DA6,131118,DNAJC19,Human,RFU,Protein,20,32.8
4546-27_3,4546-27_3,SL008822,Adhesion G protein-coupled receptor E2,EMR2,Q9UHX3,30817,ADGRE2,Human,RFU,Protein,20,77.15
4547-59_2,4547-59_2,SL014071,Leucine-rich repeat transmembrane protein FLRT1,FLRT1,Q9NZU1,23769,FLRT1,Human,RFU,Protein,20,275.5
4548-4_2,4548-4_2,SL005575,Galactoside 3(4)-L-fucosyltransferase,Fucosyltransferase 3,P21217,2525,FUT3,Human,RFU,Protein,20,22.4
4549-78_2,4549-78_2,SL014008,"Alpha-(1,3)-fucosyltransferase 5",FUT5,Q11128,2527,FUT5,Human,RFU,Protein,20,114.8
4551-72_3,4551-72_3,SL014094,Adhesion G-protein coupled receptor G5,GP114,Q8IZF4,221188,ADGRG5,Human,RFU,Protein,20,23.299999999999997
4553-65_3,4553-65_3,SL014009,Hepatoma-derived growth factor-related protein 2,HDGR2,Q7Z4V5,84717,HDGFRP2,Human,RFU,Protein,20,26.5
4556-10_2,4556-10_2,SL013548,Interleukin-34,IL-34,Q6ZMJ4,146433,IL34,Human,RFU,Protein,20,317.75
4557-61_2,4557-61_2,SL014111,Kin of IRRE-like protein 3,KIRR3,Q8IZU9,84623,KIRREL3,Human,RFU,Protein,20,338.25
4559-64_2,4559-64_2,SL013969,Kynureninase,KYNU,Q16719,8942,KYNU,Human,RFU,Protein,20,26.35
4561-65_2,4561-65_2,SL004299,Baculoviral IAP repeat-containing protein 7 Isoform beta,Livin B,Q96CA5,79444,BIRC7,Human,RFU,Protein,20,15.25
4562-1_2,4562-1_2,SL012457,Neurexophilin-1,NXPH1,P58417,30010,NXPH1,Human,RFU,Protein,20,938.8499999999999
4563-61_2,4563-61_2,SL012108,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1",PLCG1,P19174,5335,PLCG1,Human,RFU,Protein,20,25.4
4564-2_2,4564-2_2,SL006406,Plexin-C1,PLXC1,O60486,10154,PLXNC1,Human,RFU,Protein,20,2443.6
4566-24_3,4566-24_3,SL013989,R-spondin-2,RSPO2,Q6UXX9,340419,RSPO2,Human,RFU,Protein,20,44.849999999999994
4567-82_2,4567-82_2,SL014468,SH2 domain-containing protein 1A,SH21A,O60880,4068,SH2D1A,Human,RFU,Protein,20,108.2
4568-17_2,4568-17_2,SL014070,SLIT and NTRK-like protein 5,SLIK5,O94991,26050,SLITRK5,Human,RFU,Protein,20,7185.1
4569-52_2,4569-52_2,SL014091,VPS10 domain-containing receptor SorCS2,SORC2,Q96PQ0,57537,SORCS2,Human,RFU,Protein,20,27.25
4588-1_2,4588-1_2,SL011499,Pancreatic hormone,PH,P01298,5539,PPY,Human,RFU,Protein,20,58.75
4673-13_2,4673-13_2,SL000087,Interleukin-6,IL-6,P05231,3569,IL6,Human,RFU,Protein,20,39.05
4693-72_2,4693-72_2,SL008085,"3-hydroxyisobutyrate dehydrogenase, mitochondrial",3HIDH,P31937,11112,HIBADH,Human,RFU,Protein,20,25.8
4697-59_2,4697-59_2,SL001726,Granulocyte-macrophage colony-stimulating factor,GM-CSF,P04141,1437,CSF2,Human,RFU,Protein,20,35.2
4703-87_2,4703-87_2,SL000597,Lymphotoxin-alpha,TNF-b,P01374,4049,LTA,Human,RFU,Protein,20,63.599999999999994
4706-17_2,4706-17_2,SL010830,Protein 4.1,41,P11171,2035,EPB41,Human,RFU,Protein,20,537.15
4708-3_2,4708-3_2,SL004253,Estradiol 17-beta-dehydrogenase 1,17-beta-HSD 1,P14061,3292,HSD17B1,Human,RFU,Protein,20,29.8
4712-28_2,4712-28_2,SL005361,Apolipoprotein D,Apo D,P05090,347,APOD,Human,RFU,Protein,20,56.55
4717-55_2,4717-55_2,SL000479,Interleukin-3,IL-3,P08700,3562,IL3,Human,RFU,Protein,20,62.3
