member_name,size_bytes,compressed_size_bytes,crc32,type
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_030/DTI_AD.nii.gz,765839,763379,f763eba6,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_030/DTI_FA.nii.gz,798387,796108,e0e57ea5,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_030/DTI_MD.nii.gz,781720,779057,0b028f9a,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_030/DTI_RD.nii.gz,792064,789715,a5b66381,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_042/,0,0,00000000,directory
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_042/DTI_AD.nii.gz,697944,694942,b2b59f2b,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_042/DTI_FA.nii.gz,726246,723297,c04de218,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_042/DTI_MD.nii.gz,708962,705848,151f147b,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_042/DTI_RD.nii.gz,721435,718573,cffdfaed,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_043/,0,0,00000000,directory
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_043/DTI_AD.nii.gz,735849,733073,07809c50,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_043/DTI_FA.nii.gz,765469,762859,4329fc1d,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_043/DTI_MD.nii.gz,752527,749665,fd7932a7,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_043/DTI_RD.nii.gz,760087,757547,03301399,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_046/,0,0,00000000,directory
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_046/DTI_AD.nii.gz,664661,661705,f7ca7c0d,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_046/DTI_FA.nii.gz,690565,687697,d1bb001f,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_046/DTI_MD.nii.gz,676477,673366,a4035ebe,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_046/DTI_RD.nii.gz,686235,683429,c7344076,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_052/,0,0,00000000,directory
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_052/DTI_AD.nii.gz,671157,667752,2483ed2e,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_052/DTI_FA.nii.gz,698644,695417,b43eb70d,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_052/DTI_MD.nii.gz,682393,678930,40e8d462,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_052/DTI_RD.nii.gz,693553,690267,99aef434,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_063/,0,0,00000000,directory
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_063/DTI_AD.nii.gz,725447,722788,a49fa013,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_063/DTI_FA.nii.gz,754873,752452,dd387bae,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_063/DTI_MD.nii.gz,739275,736430,1bd4ead9,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_063/DTI_RD.nii.gz,750350,747693,302d317e,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_069/,0,0,00000000,directory
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_069/DTI_AD.nii.gz,664177,661081,9885e95e,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_069/DTI_FA.nii.gz,690433,687423,9059cea1,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_069/DTI_MD.nii.gz,677584,674342,110214d1,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_069/DTI_RD.nii.gz,686252,683334,5412572d,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_073/,0,0,00000000,directory
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_073/DTI_AD.nii.gz,664204,661246,59670385,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_073/DTI_FA.nii.gz,690811,687900,5ea13d8d,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_073/DTI_MD.nii.gz,677608,674451,7907aa7c,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_073/DTI_RD.nii.gz,686405,683451,8763bef4,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_074/,0,0,00000000,directory
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_074/DTI_AD.nii.gz,745527,742757,296e619c,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_074/DTI_FA.nii.gz,774867,772376,55bf678e,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_074/DTI_MD.nii.gz,760662,757779,53344a8d,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_074/DTI_RD.nii.gz,770731,768210,1e6e2536,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_087/,0,0,00000000,directory
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_087/DTI_AD.nii.gz,725624,722861,53cd46e6,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_087/DTI_FA.nii.gz,755217,752624,d83b1a1e,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_087/DTI_MD.nii.gz,743804,741104,b05850d8,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_087/DTI_RD.nii.gz,750278,747770,445a2a54,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_088/,0,0,00000000,directory
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_088/DTI_AD.nii.gz,691309,688329,92da5417,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_088/DTI_FA.nii.gz,717752,714945,22419c27,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_088/DTI_MD.nii.gz,707927,704862,6bacd5a4,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_088/DTI_RD.nii.gz,714330,711487,562c27a1,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_091/,0,0,00000000,directory
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_091/DTI_AD.nii.gz,733905,730978,7d348e23,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_091/DTI_FA.nii.gz,763394,760661,2c1d1aec,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_091/DTI_MD.nii.gz,746418,743390,35bedce2,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_091/DTI_RD.nii.gz,757834,755078,094103ab,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_094/,0,0,00000000,directory
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_094/DTI_AD.nii.gz,604630,601069,758292c4,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_094/DTI_FA.nii.gz,627600,624177,66ef06a4,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_094/DTI_MD.nii.gz,617214,613576,f3c1ab21,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_094/DTI_RD.nii.gz,623913,620473,869734e4,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_097/,0,0,00000000,directory
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_097/DTI_AD.nii.gz,753302,750378,3afc9e98,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_097/DTI_FA.nii.gz,784325,781654,362a32a8,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_097/DTI_MD.nii.gz,769359,766274,fd637504,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_097/DTI_RD.nii.gz,778863,776142,a348b5d6,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_098/,0,0,00000000,directory
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_098/DTI_AD.nii.gz,791562,788963,3b8c4c73,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_098/DTI_FA.nii.gz,824133,821662,31ac1edc,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_098/DTI_MD.nii.gz,808998,806341,3164d2be,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_098/DTI_RD.nii.gz,818378,816029,872a3924,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_100/,0,0,00000000,directory
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_100/DTI_AD.nii.gz,691772,688573,d6248f0d,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_100/DTI_FA.nii.gz,720755,717718,cb40949f,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_100/DTI_MD.nii.gz,702012,698834,483796be,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_100/DTI_RD.nii.gz,714442,711503,12bb876c,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_104/,0,0,00000000,directory
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_104/DTI_AD.nii.gz,697483,694566,99c5b222,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_104/DTI_FA.nii.gz,724863,722037,c2c10423,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_104/DTI_MD.nii.gz,712159,708756,8662cdbf,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_104/DTI_RD.nii.gz,720299,717316,7b6600c7,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_107/,0,0,00000000,directory
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_107/DTI_AD.nii.gz,735117,732477,339f2183,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_107/DTI_FA.nii.gz,764321,761809,6c845d23,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_107/DTI_MD.nii.gz,743786,740948,4756e29f,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_107/DTI_RD.nii.gz,759633,756941,66138a75,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_108/,0,0,00000000,directory
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_108/DTI_AD.nii.gz,775166,772792,57b9ab58,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_108/DTI_FA.nii.gz,807736,805473,8dd36b58,file
